key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,35.3184,4.96921875,13.9973,6.014444444,6.4969,5.993958333,19.4511,4.031701389,11.0991,0,0,0,14,1,469635_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.9875,15.1931,5.010625,6.785,0,1,1,15,1,469635_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.034409722,19.635,4.984305556,6.7362,0,2,2,42,1,477072_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.986215278,12.3353,5.011840278,8.5675,0,3,3,7,1,469553_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.036319444,6.1758,6.022881944,2.0967,0,4,4,8,1,469558_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.021944444,8.1216,2.990486111,7.0369,0,5,5,67,1,485567_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.022847222,3.8663,1.041284722,10.484,0,6,6,51,1,481532_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,5.020520833,14.9952,7.003055556,6.0246,0,7,7,25,1,469875_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.006319444,4.4914,1.006319444,1.3057,0,8,8,10,1,469581_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,4.992604167,14.0458,7.994409722,5.0453,0,9,9,1,1,469431_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,4.028819444,13.8057,6.003680556,3.6873,0,10,10,68,1,485605_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.058680556,7.3422,1.014444444,3.0047,0,11,11,17,1,469639_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,3.038125,7.6801,3.038125,1.1914,0,12,12,4,1,469495_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.990104167,5.8499,2.990104167,2.6469,0,13,13,23,1,469865_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.999201389,6.015,2.999201389,0.8888,0,14,14,72,1,487696_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.999201389,11.4009,3.022847222,2.2796,0,15,15,34,1,471720_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,5.954583333,7.6873,5.982152778,1.5776,0,16,16,18,1,469737_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,3.008541667,8.06,6.021215278,1.6427,0,17,17,31,1,470408_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,7.986944444,8.3844,7.986944444,1.2535,0,18,18,77,1,488322_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.004965278,5.9855,1.974895833,3.3637,0,19,19,61,1,484573_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,8.975277778,8.8863,8.975277778,0.941,0,20,20,27,1,469883_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.015729167,7.1406,5.940173611,3.8408,0,21,21,22,1,469865_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,3.016944444,6.3675,4.986840278,1.5643,0,22,22,48,1,480419_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.020868056,4.6882,1.020868056,0.9104,0,23,23,35,1,471720_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,1.020868056,3.2371,1.020868056,0.9383,0,24,24,55,1,484271_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.992361111,4.165,6.053402778,1.4876,0,25,25,19,1,469737_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.000694444,4.2052,4.007430556,1.8027,0,26,26,5,1,469495_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,3.023298611,4.7633,5.009618056,1.3613,0,27,27,29,1,469909_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,2.974548611,9.5534,5.017986111,1.6429,0,28,28,75,1,487969_sentence_2.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
,,,,,,6.978506944,12.8992,7.037083333,1.7903,0,29,29,0,1,469431_sentence_1.wav,613bce66b4c708c1dd29f038,11,No,2022-05-27_15h34.10.864,ratings_exp,2022.1.4,MacIntel,60.0024001
