key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,5.9494,3.983333588,13.4988,5.029629856,15.4692,4.9481486,22.0883,4.051852078,19.8082,0,0,0,6,1,469553_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,2.940740967,17.182,5.962963189,16.1575,0,1,1,9,1,469558_sentence_2.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,1.059259372,22.4416,1.896296522,17.4902,0,2,2,34,1,471720_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,4,10.5647,7.592593045,16.4933,0,3,3,56,1,484457_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,3.2740743,13.5335,4.9481486,11.2315,0,4,4,10,1,469581_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,3.459259372,11.3435,4.659259711,10.6212,0,5,5,75,1,487969_sentence_2.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,6.444444444,13.6569,8.481481934,10.1704,0,6,6,2,1,469440_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,6.007407633,17.0902,7.9481486,12.1382,0,7,7,36,1,472263_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,5.466666667,10.1231,7.325926378,7.9647,0,8,8,69,1,485605_sentence_2.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,5.303704156,13.4222,7.111111111,10.5321,0,9,9,28,1,469909_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,4.696296522,15.5667,3.244444444,13.5301,0,10,10,60,1,484573_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,4.125926378,9.6713,6.096296522,5.7312,0,11,11,74,1,487969_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,4.229629856,14.5092,6.051852078,13.7023,0,12,12,41,1,475707_sentence_2.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,5.5481486,14.8442,7.8740743,12.3294,0,13,13,18,1,469737_sentence_1.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
,,,,,,4.888888889,10.7649,5.829629856,10.0867,0,14,14,53,1,481962_sentence_2.wav,6160e15fcaeeeae935667a3c,6 años,Sí,2022-05-27_15h37.58.661,ratings_exp,2022.1.4,Win32,59.38594928
