key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,17.5173,5.060604248,35.2873,6.060500217,5.4868,3.97102105,11.6106,6.959321289,7.5355,0,0,0,8,1,469558_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,6.959757487,23.4415,4.098465712,7.1472,0,1,1,24,1,469875_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,5.018145616,190.3652,2.032404514,10.463,0,2,2,34,1,471720_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,3.056440972,29.3641,3.964959852,41.0321,0,3,3,11,1,469581_sentence_2.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,8.013074002,10.2142,7.918452691,4.4837,0,4,4,26,1,469883_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,6.93445855,33.9008,4.980960286,16.5675,0,5,5,19,1,469737_sentence_2.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,6.992663303,9.1736,4.024001736,7.3274,0,6,6,52,1,481962_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,7.032714844,68.9323,5.910906576,12.9877,0,7,7,45,1,479845_sentence_2.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,7.008532986,10.035,6.016857096,2.3131,0,8,8,76,1,488322_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,6.000797526,21.0607,6.009737413,8.9813,0,9,9,74,1,487969_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,4.949784071,9.3175,6.962616645,2.1371,0,10,10,56,1,484457_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
,,,,,,7.036852214,15.6286,6.947417535,2.3135,0,11,11,40,1,475707_sentence_1.wav,615494c60df566552eb04677,25,No,2022-05-27_15h32.16.096,ratings_exp,2022.1.4,MacIntel,59.99880002
