key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,27.436,3.484375,3.505,7.90625,4.188,3.927083333,11.152,6.958333333,7.32,0,0,0,23,1,469865_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,5.989583333,24.456,7.21875,4.688,0,1,1,21,1,469805_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,6.114583333,16.624,7.09375,1.475,0,2,2,37,1,472263_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,7.979166667,11.424,8.1875,2.396,0,3,3,68,1,485605_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,6.010416667,10.476,6.895833333,1.845,0,4,4,49,1,480419_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,8.270833333,7.191,7.854166667,2.295,0,5,5,77,1,488322_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,5.96875,10.831,7.177083333,1.543,0,6,6,48,1,480419_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,3.989583333,18.04,4.9375,1.088,0,7,7,42,1,477072_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,4.104166667,14.046,2.9375,0.851,0,8,8,43,1,477072_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,5.979166667,8.785,6.15625,2.531,0,9,9,27,1,469883_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,7.84375,10.066,7.854166667,3.225,0,10,10,2,1,469440_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,2.583333333,8.003,3.979166667,2.324,0,11,11,9,1,469558_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,6.020833333,10.245,2.979166667,1.57,0,12,12,64,1,485507_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,2.135416667,9.04,6.25,2.276,0,13,13,22,1,469865_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,1.020833333,6.1,3.0625,3.827,0,14,14,56,1,484457_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,5,17.411,4.020833333,1.542,0,15,15,16,1,469639_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,6.947916667,15.538,6.9375,9.12,0,16,16,76,1,488322_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,2.072916667,10.062,2.854166667,1.956,0,17,17,70,1,485976_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,3.0625,8.765,2.229166667,1.7,0,18,18,34,1,471720_sentence_1.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,3.072916667,12.222,2.09375,4.942,0,19,19,75,1,487969_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
,,,,,,2.9375,5.882,2.895833333,1.656,0,20,20,69,1,485605_sentence_2.wav,5ec5a561c1172f5f55cfb425,6,no,2022-05-27_15h41.48.635,ratings_exp,2022.1.4,Win32,165.0165017
