key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,21.8648,7.97265625,3.513,8.916666667,4.8938,1.96875,13.6135,5.96875,11.1106,0,0,0,7,1,469553_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,1.09375,11.0562,3.989583333,11.6861,0,1,1,5,1,469495_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,3.052083333,20.5427,4.989583333,7.767,0,2,2,11,1,469581_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,3.020833333,17.47,6,3.7562,0,3,3,17,1,469639_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,7,13.924,8.979166667,11.0527,0,4,4,40,1,475707_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,1.010416667,8.9269,8.979166667,2.9924,0,5,5,38,1,472268_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,2.989583333,12.3391,4.979166667,10.7725,0,6,6,61,1,484573_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,4.958333333,10.3028,8.989583333,9.1607,0,7,7,69,1,485605_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,3.958333333,14.2688,7.927083333,10.7014,0,8,8,15,1,469635_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,1,9.3018,6.96875,2.2001,0,9,9,58,1,484549_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,8.010416667,13.82,8.895833333,2.2376,0,10,10,46,1,479904_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,5.010416667,12.664,7.989583333,4.5895,0,11,11,39,1,472268_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,5,13.2846,8.916666667,1.3065,0,12,12,19,1,469737_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,6.041666667,9.8524,8.71875,6.2001,0,13,13,72,1,487696_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,9,11.9927,8.895833333,2.6982,0,14,14,13,1,469614_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,7.96875,15.4625,8.958333333,2.846,0,15,15,42,1,477072_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,3.875,7.8015,9,3.0097,0,16,16,71,1,485976_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,7.052083333,12.6892,6.958333333,2.6451,0,17,17,63,1,484860_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,5.885416667,15.1286,7.927083333,3.1576,0,18,18,45,1,479845_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,7.104166667,16.1828,5.0625,4.8174,0,19,19,37,1,472263_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,4.979166667,10.7187,7.010416667,1.6057,0,20,20,52,1,481962_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,1.104166667,10.0827,7.84375,3.0789,0,21,21,70,1,485976_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,3.729166667,7.9876,7.010416667,3.2976,0,22,22,66,1,485567_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,2.020833333,12.0516,7.947916667,1.067,0,23,23,23,1,469865_sentence_2.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
,,,,,,4.979166667,10.2456,7,5.616,0,24,24,10,1,469581_sentence_1.wav,613ab07eb344dc2516d0d885,5,no,2022-05-27_13h41.34.418,ratings_exp,2022.1.4,Win32,60.06727535
