key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,7.6673,2.1484375,3.6126,8.354166667,3.9522,2.645833333,3.2129,5.020833333,1.1706,0,0,0,22,1,469865_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,3.5625,0.9518,2.229166667,0.6658,0,1,1,66,1,485567_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,4.21875,0.783,5.416666667,0.7749,0,2,2,49,1,480419_sentence_2.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,4.114583333,0.6937,2.604166667,0.6824,0,3,3,56,1,484457_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,2.427083333,0.7953,5.21875,0.6845,0,4,4,28,1,469909_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,2.895833333,0.685,6.395833333,0.991,0,5,5,71,1,485976_sentence_2.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,2.833333333,1.4576,4.510416667,1.0662,0,6,6,68,1,485605_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,2.75,1.102,4.21875,1.123,0,7,7,43,1,477072_sentence_2.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,2.645833333,1.2946,2.645833333,0.6851,0,8,8,31,1,470408_sentence_2.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
,,,,,,5.270833333,1.109,3.4375,1.2033,0,9,9,62,1,484860_sentence_1.wav,6043f909d14273455e5e7436,3,yes,2022-05-27_15h58.10.853,ratings_exp,2022.1.4,Win32,20.03084751
