key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,48.2556,4.99609375,7.9926,5.96875,12.58,7.989583333,15.5473,8.020833333,16.2079,0,0,0,10,1,469581_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1,30.4418,2.010416667,20.0978,0,1,1,55,1,484271_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,3.96875,23.0488,8.989583333,12.6186,0,2,2,18,1,469737_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,6.010416667,38.5747,8.979166667,13.4105,0,3,3,46,1,479904_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.989583333,21.5373,8.989583333,10.3668,0,4,4,11,1,469581_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,4,20.0701,7,16.2032,0,5,5,43,1,477072_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,3.989583333,27.4666,8.96875,11.1606,0,6,6,47,1,479904_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,8.052083333,14.9905,9,9.0819,0,7,7,38,1,472268_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1,14.5302,7.010416667,14.5079,0,8,8,9,1,469558_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.010416667,12.9867,9,8.4907,0,9,9,16,1,469639_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7,18.3981,9,10.9371,0,10,10,28,1,469909_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,2.979166667,14.1253,8.979166667,11.6836,0,11,11,40,1,475707_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1,12.985,5.947916667,13.2328,0,12,12,5,1,469495_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,5.9375,17.6538,9,13.0024,0,13,13,36,1,472263_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,8.96875,22.325,8.96875,9.6189,0,14,14,68,1,485605_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,8.041666667,25.1132,8.979166667,13.4549,0,15,15,45,1,479845_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,3,18.2757,9,16.3722,0,16,16,41,1,475707_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,4.895833333,15.197,9,3.271,0,17,17,72,1,487696_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1.020833333,13.8207,3.020833333,19.2686,0,18,18,54,1,484271_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.96875,14.5227,8.989583333,8.0777,0,19,19,48,1,480419_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,6,16.7976,8.958333333,3.1357,0,20,20,57,1,484457_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,4.010416667,15.258,8.947916667,9.1039,0,21,21,7,1,469553_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,8.010416667,15.6048,9,4.2789,0,22,22,67,1,485567_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,9,13.7922,9,2.7467,0,23,23,30,1,470408_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.020833333,13.3918,9,3.8291,0,24,24,33,1,470901_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,9,15.506,9,2.4987,0,25,25,29,1,469909_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1,5.3847,8,12.5301,0,26,26,70,1,485976_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,5.947916667,25.1284,8.96875,10.2728,0,27,27,44,1,479845_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.020833333,15.2988,9,3.1727,0,28,28,31,1,470408_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,9,10.1559,9,3.6033,0,29,29,76,1,488322_sentence_1.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,1.010416667,16.6151,7.03125,8.3052,0,30,30,17,1,469639_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
,,,,,,7.03125,14.8016,9,10.4102,0,31,31,39,1,472268_sentence_2.wav,613bddfaa4471bbe889926ee,13,si,2022-05-27_15h44.30.127,ratings_exp,2022.1.4,Win32,60.03842459
