key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,1.6769,1.8671875,3.6601,6.979166667,3.0342,1.09375,9.973,3.020833333,4.6132,0,0,0,50,1,481532_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.760416667,6.2544,7.052083333,1.5189,0,1,1,71,1,485976_sentence_2.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,2.96875,11.5111,7.09375,1.2306,0,2,2,36,1,472263_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,2.927083333,9.3224,7.9375,1.2952,0,3,3,30,1,470408_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.135416667,4.9403,1.135416667,0.6665,0,4,4,54,1,484271_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.947916667,6.792,5.052083333,1.323,0,5,5,32,1,470901_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.239583333,5.5274,3.041666667,1.4532,0,6,6,58,1,484549_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.979166667,8.4087,5.083333333,1.3128,0,7,7,9,1,469558_sentence_2.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.25,5.0645,3.833333333,2.9485,0,8,8,38,1,472268_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.364583333,7.3046,3.0625,3.9962,0,9,9,14,1,469635_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,1.708333333,10.794,4.0625,2.4866,0,10,10,11,1,469581_sentence_2.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
,,,,,,2.875,9.0667,6.09375,1.7461,0,11,11,28,1,469909_sentence_1.wav,5b146e7bc85dc40001624518,4,no,2022-05-27_15h58.37.790,ratings_exp,2022.1.4,Win32,59.79430758
