key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,37.7088,7.00931677,5.2987,7.906832298,4.483,3.01242236,13.6486,3.099378882,9.6435,0,0,0,5,1,469495_sentence_2.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,1.98136646,10.1668,5.149068323,9.0791,0,1,1,70,1,485976_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,3.99378882,12.1612,6.98757764,5.6025,0,2,2,57,1,484457_sentence_2.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,6.98757764,15.3931,8.888198758,4.228,0,3,3,20,1,469805_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,4.913043478,11.2238,3.881987578,2.5217,0,4,4,53,1,481962_sentence_2.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,5.01242236,12.0317,7.807453416,10.5447,0,5,5,0,1,469431_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,6.888198758,11.9352,7.832298137,2.2991,0,6,6,13,1,469614_sentence_2.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,1.074534161,13.8907,1.968944099,5.0605,0,7,7,54,1,484271_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,3.906832298,11.1722,5.944099379,2.0205,0,8,8,64,1,485507_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,3.906832298,16.4892,3.919254658,1.9368,0,9,9,43,1,477072_sentence_2.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,6.925465839,13.2422,8.142857143,3.2355,0,10,10,24,1,469875_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,3.01242236,48.2119,4.788819876,7.7684,0,11,11,38,1,472268_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,7.919254658,8.6673,7.074534161,7.5907,0,12,12,32,1,470901_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
,,,,,,2.142857143,10.7299,3.01242236,3.4201,0,13,13,44,1,479845_sentence_1.wav,5f2b4939dae40959f75f7baf,7,si,2022-05-27_15h41.46.541,ratings_exp,2022.1.4,Win32,60.0348202
