key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,226.2831,2.96875,8.8764,6.989583333,14.106,1.020833333,28.1,1.989583333,13.9259,0,0,0,9,1,469558_sentence_2.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,5.989583333,14.6594,5,11.7931,0,1,1,48,1,480419_sentence_1.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,5,12.9033,6,12.6908,0,2,2,36,1,472263_sentence_1.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,4.927083333,16.0025,5.989583333,10.4165,0,3,3,65,1,485507_sentence_2.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,3.989583333,13.6069,4.96875,13.2524,0,4,4,41,1,475707_sentence_2.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,1.0625,14.9864,1,10.5362,0,5,5,51,1,481532_sentence_2.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,7.03125,15.2984,7.020833333,15.037,0,6,6,20,1,469805_sentence_1.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,5.979166667,7.3562,5.989583333,5.9345,0,7,7,74,1,487969_sentence_1.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,6.96875,11.1693,6.989583333,11.824,0,8,8,26,1,469883_sentence_1.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
,,,,,,5.979166667,9.7405,5.979166667,8.9288,0,9,9,7,1,469553_sentence_2.wav,5bdf91dbb32fa800012ea282,13,No,2022-05-27_16h23.54.794,ratings_exp,2022.1.4,Win32,60.00960154
