key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,2.0409,6.975000381,3.8825,6.318518745,1.0703,3.007407294,14.0941,1.962962963,8.0239,0,0,0,53,1,481962_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,3.985185411,13.6741,6.977778117,4.5096,0,1,1,31,1,470408_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,4.007407294,9.5302,7,4.9016,0,2,2,4,1,469495_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,8.037037037,13.2659,8.807408086,2.1453,0,3,3,12,1,469614_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,4,5.1915,1.962962963,1.6518,0,4,4,52,1,481962_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,1.037037037,7.2722,2.007407577,0.9927,0,5,5,5,1,469495_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,2.007407577,4.7395,5.481481481,3.6166,0,6,6,70,1,485976_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,3.029629743,6.6904,4.955555669,3.3813,0,7,7,74,1,487969_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,1.007407577,6.07,3.970370257,1.537,0,8,8,54,1,484271_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,1.948148092,4.9371,4.985185411,1.6554,0,9,9,8,1,469558_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,8.985185411,6.8787,8.938462316,12.0209,0,10,10,76,1,488322_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,8.055702918,10.2427,8.955438184,3.0685,0,11,11,6,1,469553_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,4.032360613,3.9279,6.16286511,31.9756,0,12,12,20,1,469805_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,1.995225658,9.2728,3.972944427,1.3343,0,13,13,60,1,484573_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,2.131034548,4.8949,6.875861939,1.5484,0,14,14,39,1,472268_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,2.996817106,3.1506,6.205305428,1.6063,0,15,15,50,1,481532_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,3.056233292,10.1788,5.135808889,2.0689,0,16,16,23,1,469865_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,8.98938992,8.4467,8.98938992,0.9087,0,17,17,49,1,480419_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,6.027055573,48.4564,6.145888594,7.2822,0,18,18,67,1,485567_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,8.887533416,6.8242,8.929973734,1.2352,0,19,19,32,1,470901_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,4.193633952,5.7139,8.021751181,1.6553,0,20,20,3,1,469440_sentence_2.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
,,,,,,2.046153911,5.442,2.046153911,0.9237,0,21,21,34,1,471720_sentence_1.wav,60943427c11ddfd172f619e3,6,sí,2022-05-27_15h41.46.056,ratings_exp,2022.1.4,Win32,60.08532116
