key_resp.keys,key_resp.rt,eng_proficiency.response,eng_proficiency.rt,eng_proficiency_2.response,eng_proficiency_2.rt,accent_rating.response,accent_rating.rt,accent_rating_2.response,accent_rating_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,Cuántos años tenía cuando ud. empezó a aprender el inglés?,Ha enseñado el español cómo seguna lengua?,date,expName,psychopyVersion,OS,frameRate
space,23.4042,7.983333588,4.0332,7.459259711,7.7115,4.970370822,20.3056,8.970370822,15.5705,0,0,0,75,1,487969_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,7.985185411,14.0911,8.970370822,11.2218,0,1,1,57,1,484457_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,6.985185411,16.6079,8.962963189,9.0428,0,2,2,76,1,488322_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1,9.672,1.977777778,10.4273,0,3,3,58,1,484549_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1,8.8789,8.992593045,6.0935,0,4,4,71,1,485976_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.977777778,13.3924,8.992593045,11.9743,0,5,5,37,1,472263_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.007407633,19.8875,8.022222222,19.0134,0,6,6,11,1,469581_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.007407633,11.4771,8.962963189,8.8858,0,7,7,47,1,479904_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.977777778,13.6216,8.992593045,11.7358,0,8,8,1,1,469431_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.992593045,9.2815,8.992593045,6.2601,0,9,9,77,1,488322_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.992592706,16.2356,8.4740743,18.2707,0,10,10,8,1,469558_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1,13.8911,6.992593045,10.7159,0,11,11,10,1,469581_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.029629856,12.7747,8.4740743,6.0538,0,12,12,74,1,487969_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.977777778,11.1452,1.029629856,7.9593,0,13,13,53,1,481962_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.014814928,13.2831,1,13.1258,0,14,14,35,1,471720_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.985185411,12.3369,8,11.062,0,15,15,40,1,475707_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.007407633,14.962,1.985185411,14.1871,0,16,16,34,1,471720_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,5,9.4934,8.985185411,7.5561,0,17,17,69,1,485605_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,3.007407633,9.2067,8.977777778,6.0062,0,18,18,72,1,487696_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.014814928,11.0137,7.992593045,9.329,0,19,19,44,1,479845_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.985185411,10.9673,3.992593045,8.9736,0,20,20,68,1,485605_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,8.014815267,10.8216,8.985185411,8.8636,0,21,21,2,1,469440_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,5,8.3468,8.977777778,6.4833,0,22,22,16,1,469639_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,3.985185411,8.4479,6.977777778,8.0976,0,23,23,5,1,469495_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.022222222,15.1996,1.977777778,14.6852,0,24,24,62,1,484860_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,3.977777778,9.6494,7,8.754,0,25,25,7,1,469553_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.985185411,13.0923,8.977777778,11.24,0,26,26,0,1,469431_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.022222222,11.7866,8.985185411,13.1909,0,27,27,19,1,469737_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2,12.046,7.007407633,11.2525,0,28,28,42,1,477072_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.977777778,11.1563,2.970370483,9.9474,0,29,29,65,1,485507_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.459259372,9.3133,5.977777778,8.4916,0,30,30,52,1,481962_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,6.992593045,16.1779,8.970370822,15.2515,0,31,31,29,1,469909_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.970370822,15.0761,8.985185411,12.1668,0,32,32,9,1,469558_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.007407633,12.8121,1.014814928,12.0526,0,33,33,54,1,484271_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,3.014814928,11.6741,1.533333333,10.37,0,34,34,63,1,484860_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.014814928,17.2855,3.992593045,15.8213,0,35,35,17,1,469639_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.022222222,9.899,6,9.5215,0,36,36,73,1,487696_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.022222222,11.3447,1,10.0148,0,37,37,51,1,481532_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.992592706,13.078,6.985185411,12.6536,0,38,38,48,1,480419_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,5.970370822,11.7,8.977777778,9.7661,0,39,39,13,1,469614_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,5.985185411,9.7084,8.977777778,8.8144,0,40,40,67,1,485567_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4.992593045,9.7615,7.970370822,10.1109,0,41,41,22,1,469865_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,6,10.5626,8.962963189,3.3721,0,42,42,26,1,469883_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.992592706,7.9856,8.977777778,7.5054,0,43,43,66,1,485567_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,4,9.651,8.985185411,5.499,0,44,44,33,1,470901_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,7.985185411,12.527,8.962963189,2.95,0,45,45,18,1,469737_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,1.948148261,12.2402,6.985185411,10.24,0,46,46,23,1,469865_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,7.014815267,15.0209,8.970370822,2.8373,0,47,47,20,1,469805_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2.992592706,12.2493,8.414815267,5.6722,0,48,48,45,1,479845_sentence_2.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,5,13.3596,6.007407633,8.5861,0,49,49,64,1,485507_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,6.977777778,15.2261,8.992593045,4.05,0,50,50,12,1,469614_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
,,,,,,2,14.3186,1.044444444,5.0026,0,51,51,60,1,484573_sentence_1.wav,613a9a0390a4c691677c1440,7,no,2022-05-27_14h39.49.814,ratings_exp,2022.1.4,Win32,60.11783095
